"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"31800","233rd Firefighting Team, CA Army National Guard","850 All America City BLVD",,"Roseville","CA","95678-1594","850 All America City BLVD",,,"Roseville","CA","95678-1564","916-782-8084","916-854-3024","Placer","Mostly volunteer","Federal government (Department of Defense fire department)",,"1","3","0","18","0","0","No"
"25005","Adin Fire Protection District","108 Center ST",,"Adin","CA","96006",,,"PO Box 16","Adin","CA","96006-0016","530-299-4700","530-299-4700","Modoc","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://adinfire.org/","1","0","16","0","0","0","Yes"
"34003","Aerojet Fire Services","HWY 50 and Hazel AVE","PO Box 13222","Sacramento","CA","95813-6000","HWY 50 and Hazel AVE",,"PO Box 13222","Sacramento","CA","95813-6000","916-355-3473","916-355-4767","Sacramento","Career","Private or industrial fire brigade",,"1","15","0","0","0","16",
"","Air Force Plant 42 Fire Department","2501 E Avenue P","","Palmdale","CA","93551","2501 E Avenue P","","PO Box ","Palmdale","CA","93551","661-272-6637","661-272-6635","Los Angeles","Career","Contract fire department","","2","52","0","0","0","0",
"01008","Alameda County Fire Department","6363 Clark AVE",,"Dublin","CA","94568-3001","6363 Clark AVE",,,"Dublin","CA","94568-3001","925-833-3473","925-875-9387","Alameda","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://fire.acgov.org/index.page","29","350","50","0","92","0","Yes"
"01010","Albany Fire Department","1000 San Pablo AVE",,"Albany","CA","94706-2226","1000 San Pablo AVE",,,"Albany","CA","94706-2226","510-528-5778","510-528-5774","Alameda","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.albanyca.org/","1","19","0","0","1","0","Yes"
"19005","Alhambra Fire Department","301 N 1ST ST",,"Alhambra","CA","91801-2454","301 N 1ST ST",,,"Alhambra","CA","91801-2454","626-570-5190","626-457-8961","Los Angeles","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofalhambra.org/fire/mainar.htm","4","63","16","0","9","35","Yes"
"37005","Alpine Fire Protection District","1364 Tavern RD",,"Alpine","CA","91901-3831","1364 Tavern RD",,,"Alpine","CA","91901-3831","619-445-2635","619-445-2634","San Diego","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.alpinefire.org/","1","14","0","0","4","0","Yes"
"31005","Alta Fire Protection District","33950 Alta Bonney Nook RD",,"Alta","CA","95701",,,"PO Box 847","Alta","CA","95701-0847","530-389-2676",,"Placer","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://altavolunteerfirefighters.org/","1","0","2","0","2","0","No"
"05005","Altaville Melones Fire Protection District","148 Monte Verde ST",,"Altaville","CA","95221",,,"PO Box 431","Altaville","CA","95221-0431","209-736-4461","209-736-4238","Calaveras","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","20","6","0","0","Yes"
